#OTUID	taxonomy	USEARCH	SINTAX	UTAX
OTU1	GSL|100.0|MK402142|SH1883563.08FU;k:Fungi,p:Mucoromycota,c:Umbelopsidomycetes,o:Umbelopsidales,f:Umbelopsidaceae,g:Umbelopsis,s:Umbelopsis dimorpha	k:Fungi,p:Mucoromycota,c:Umbelopsidomycetes,o:Umbelopsidales,f:Umbelopsidaceae,g:Umbelopsis	k:Fungi,p:Mucoromycota,c:Umbelopsidomycetes,o:Umbelopsidales,f:Umbelopsidaceae,g:Umbelopsis,s:Umbelopsis dimorpha	No hit
OTU29	GS|99.1|MH101606|SH1504280.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Cortinariaceae,g:Cortinarius	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Cortinariaceae,g:Cortinarius	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Cortinariaceae,g:Cortinarius	No hit
OTU30	SS|0.8500|KY559327|SH1555449.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Hymenochaetales,f:Rickenellaceae,g:Rickenella	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Hymenochaetales,f:Rickenellaceae,g:Rickenella	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Hymenochaetales,f:Rickenellaceae,g:Rickenella	No hit
OTU31	SS|1.0000|KJ417318|SH1153757.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Tricholomataceae,g:Tricholoma	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Tricholomataceae,g:Tricholoma	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Tricholomataceae,g:Tricholoma	No hit
OTU32	GS|74.8|KC710075|SH1243277.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Entolomataceae,g:Entoloma,s:Entoloma kermandii	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Entolomataceae,g:Entoloma,s:Entoloma kermandii	No hit	No hit
OTU33	GSL|100.0|MN886590|SH1526648.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Pleosporaceae,g:Alternaria	k:Fungi,p:Ascomycota	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Pleosporaceae,g:Alternaria	No hit
OTU34	GS|100.0|KF270082|SH1522934.08FU;k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales	k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales	k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales	No hit
OTU35	GS|98.3|MF664111|SH1147836.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Clavariaceae,g:Clavaria,s:Clavaria redoleoalii	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Clavariaceae,g:Clavaria,s:Clavaria redoleoalii	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Clavariaceae,g:Clavaria,s:Clavaria redoleoalii	No hit
OTU36	GS|98.9|KC222812|SH1546123.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Cantharellales,f:Clavulinaceae,g:Clavulina	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Cantharellales,f:Clavulinaceae,g:Clavulina	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Cantharellales,f:Clavulinaceae,g:Clavulina	No hit
OTU37	GS|98.9|KY774264|SH1159962.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Russulales,f:Russulaceae,g:Russula	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Russulales,f:Russulaceae,g:Russula	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Russulales,f:Russulaceae,g:Russula	No hit
OTU38	GSL|100.0|MK789190|SH1529988.08FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales,f:Aspergillaceae,g:Penicillium	k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales,f:Aspergillaceae,g:Penicillium	k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales,f:Aspergillaceae,g:Penicillium	No hit
OTU39	GSL|99.4|JQ085932|SH1516388.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Inocybaceae,g:Inocybe,s:Inocybe fulvilubrica	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Inocybaceae,g:Inocybe	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Inocybaceae,g:Inocybe,s:Inocybe fulvilubrica	No hit
OTU40	SS|1.0000|KC791146|SH1544825.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Atheliales	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Atheliales,f:Pilodermataceae,g:Piloderma	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Atheliales	No hit
OTU41	GS|100.0|MW042214|SH1650285.08FU;k:Fungi,p:Mortierellomycota,c:Mortierellomycetes,o:Mortierellales,f:Mortierellaceae,g:Mortierella,s:Mortierella alpina	k:Fungi,p:Mortierellomycota,c:Mortierellomycetes,o:Mortierellales,f:Mortierellaceae,g:Mortierella,s:Mortierella alpina	k:Fungi	No hit
OTU42	GSL|100.0|MT502794|SH1616871.08FU;k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Trichosporonales,f:Trichosporonaceae	k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Trichosporonales,f:Trichosporonaceae	k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Trichosporonales,f:Trichosporonaceae	No hit
OTU43	GS|100.0|HG936976|SH1525614.08FU;k:Fungi,p:Basidiomycota,c:Microbotryomycetes,f:Chrysozymaceae,g:Udeniozyma	k:Fungi,p:Basidiomycota,c:Microbotryomycetes,f:Chrysozymaceae,g:Udeniozyma	k:Fungi	No hit
OTU44	GS|99.7|MH101544|SH1141715.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Cortinariaceae,g:Cortinarius	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Cortinariaceae,g:Cortinarius	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Cortinariaceae,g:Cortinarius	No hit
OTU45	GS|97.7|KP641620|SH1184703.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Inocybaceae,g:Inocybe	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Inocybaceae,g:Inocybe	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Inocybaceae,g:Inocybe	No hit
OTU46	GS|98.9|JQ666527|SH1566775.08FU;k:Fungi,p:Rozellomycota	k:Fungi,p:Rozellomycota	k:Fungi,p:Rozellomycota	No hit
OTU47	GS|97.3|KT581817|SH1557373.08FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales	k:Fungi,p:Ascomycota	k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales	No hit
OTU48	GS|100.0|KP641628|SH1184706.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Inocybaceae,g:Inocybe	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Inocybaceae,g:Inocybe	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Inocybaceae,g:Inocybe	No hit
OTU49	GS|99.7|KC222655|SH1542358.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Tricholomataceae,g:Mycena	k:Fungi	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Tricholomataceae,g:Mycena	No hit
OTU50	GS|99.1|UDB0769105|SH2599239.08FU;k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales	k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales	k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales	No hit
OTU51	SS|0.8700|HQ022104|SH1244460.08FU;k:Fungi,p:Ascomycota	k:Fungi,p:Ascomycota,c:Saccharomycetes,o:Saccharomycetales	k:Fungi,p:Ascomycota	No hit
OTU52	SS|1.0000|KF800622|SH1178119.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Polyporales	k:Fungi,p:Basidiomycota,c:Agaricomycetes	No hit
OTU53	SS|1.0000|KJ734997|SH1645119.08FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Coniochaetales,f:Coniochaetaceae	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Coniochaetales,f:Coniochaetaceae	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Coniochaetales,f:Coniochaetaceae	No hit
OTU54	GS|100.0|UDB015127|SH1552644.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Boletales,f:Pisolithaceae,g:Pisolithus,s:Pisolithus marmoratus	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Boletales,f:Pisolithaceae,g:Pisolithus,s:Pisolithus marmoratus	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Boletales,f:Pisolithaceae,g:Pisolithus,s:Pisolithus marmoratus	No hit
OTU55	GS|98.4|UDB013116|SH1226659.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Russulales,f:Russulaceae,g:Russula	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Russulales,f:Russulaceae,g:Russula	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Russulales,f:Russulaceae,g:Russula	No hit
OTU56	GS|97.1|KM374453|SH1629834.08FU;k:Fungi,p:Mortierellomycota,c:Mortierellomycetes,o:Mortierellales,f:Mortierellaceae,g:Mortierella	k:Fungi,p:Mortierellomycota,c:Mortierellomycetes,o:Mortierellales,f:Mortierellaceae,g:Mortierella	k:Fungi,p:Mortierellomycota,c:Mortierellomycetes,o:Mortierellales,f:Mortierellaceae	No hit
OTU57	GS|100.0|MK737084|SH1570250.08FU;k:Fungi,p:Ascomycota,c:Saccharomycetes,o:Saccharomycetales,g:Nadsonia,s:Nadsonia starkeyi-henricii	k:Fungi,p:Ascomycota,c:Saccharomycetes,o:Saccharomycetales,g:Nadsonia,s:Nadsonia starkeyi-henricii	k:Fungi,p:Ascomycota,c:Saccharomycetes,o:Saccharomycetales,g:Nadsonia,s:Nadsonia starkeyi-henricii	No hit
OTU58	SS|0.8500|MG230332|SH1210819.08FU;k:Fungi,p:Mortierellomycota,c:Mortierellomycetes,o:Mortierellales,f:Mortierellaceae	k:Fungi,p:Mortierellomycota,c:Mortierellomycetes,o:Mortierellales,f:Mortierellaceae,g:Mortierella	k:Fungi,p:Mortierellomycota,c:Mortierellomycetes,o:Mortierellales,f:Mortierellaceae	No hit
OTU59	SS|0.9900|JX178491|SH1558619.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Russulales,f:Russulaceae,g:Russula	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Russulales,f:Russulaceae,g:Russula,s:Russula tawai	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Russulales,f:Russulaceae,g:Russula	No hit
OTU60	GSL|100.0|MN909165|SH1572792.08FU;k:Fungi,p:Ascomycota		k:Fungi,p:Ascomycota	No hit
OTU61	GS|97.2|MW215370|SH1509588.08FU;k:Fungi,p:Ascomycota,c:Leotiomycetes	k:Fungi	k:Fungi,p:Ascomycota,c:Leotiomycetes	No hit
OTU62	GS|98.9|KJ778852|SH1563446.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Inocybaceae,g:Inocybe,s:Inocybe eburnea	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Inocybaceae,g:Inocybe,s:Inocybe eburnea	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Inocybaceae,g:Inocybe,s:Inocybe eburnea	No hit
OTU63	GS|98.1|MG553147|SH1141716.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Cortinariaceae,g:Cortinarius	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Cortinariaceae,g:Cortinarius	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Cortinariaceae,g:Cortinarius	No hit
OTU64	GS|100.0|KJ191282|SH1647616.08FU;k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Thelebolales,f:Pseudeurotiaceae,g:Pseudeurotium,s:Pseudeurotium bakeri	k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Thelebolales,f:Pseudeurotiaceae,g:Pseudeurotium,s:Pseudeurotium bakeri	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Sporormiaceae	No hit
OTU65	GS|98.6|MG925395|SH1177498.08FU;k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales,f:Pezizaceae,g:Ruhlandiella	k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales,f:Pezizaceae,g:Ruhlandiella	k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales,f:Pezizaceae,g:Ruhlandiella	No hit
OTU66	GS|98.3|HQ318284|SH1544943.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Russulales,f:Russulaceae,g:Lactifluus,s:Lactifluus clarkeae	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Russulales,f:Russulaceae,g:Lactifluus,s:Lactifluus clarkeae	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Russulales,f:Russulaceae,g:Lactifluus,s:Lactifluus clarkeae	No hit
OTU67	GS|97.1|JX679155|SH1503796.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Cortinariaceae,g:Cortinarius	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Cortinariaceae,g:Cortinarius	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Cortinariaceae,g:Cortinarius	No hit
OTU68	GS|98.0|MW187062|SH1141683.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Cortinariaceae,g:Cortinarius	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Cortinariaceae,g:Cortinarius	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Cortinariaceae,g:Cortinarius	No hit
OTU69	SS|0.9300|KF296894|SH1509743.08FU;k:Fungi,p:Ascomycota,c:Leotiomycetes	k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales,f:Helotiaceae,g:Mycosymbioces	k:Fungi,p:Ascomycota,c:Leotiomycetes	No hit
OTU70	SS|0.9800|UDB028521|SH1510112.08FU;k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales	k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales	k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales	No hit
OTU71	GSL|100.0|KX058328|SH1553003.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Hydnangiaceae	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Hydnangiaceae	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Hydnangiaceae	No hit
OTU72	SS|1.0000|MG553131|SH1172173.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Cortinariaceae,g:Cortinarius	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Cortinariaceae,g:Cortinarius	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Cortinariaceae,g:Cortinarius	No hit
OTU73	SS|0.9900|KJ701320|SH1503890.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Cortinariaceae,g:Cortinarius	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Cortinariaceae,g:Cortinarius	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Cortinariaceae,g:Cortinarius	No hit
OTU74	GSL|100.0|MK794085|SH1557165.08FU;k:Fungi,p:Ascomycota	k:Fungi,p:Ascomycota	k:Fungi	No hit
OTU75	SS|1.0000|KF381520|SH1160016.08FU;k:Fungi	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Hygrophoraceae,g:Gliophorus,s:Gliophorus graminicolor	k:Fungi	No hit
OTU76	GS|86.0|UDB0333692|SH1566373.08FU;k:Fungi,p:Ascomycota,c:Archaeorhizomycetes,o:Archaeorhizomycetales,f:Archaeorhizomycetaceae,g:Archaeorhizomyces	k:Fungi,p:Ascomycota,c:Archaeorhizomycetes,o:Archaeorhizomycetales,f:Archaeorhizomycetaceae,g:Archaeorhizomyces	No hit	No hit
OTU77	GS|97.4|UDB0754740|SH2597178.08FU;k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales,f:Pezizaceae	k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales,f:Pezizaceae	k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales,f:Pezizaceae	No hit
OTU78	GS|98.9|UDB014792|SH1555939.08FU;k:Fungi,p:Mucoromycota,c:Umbelopsidomycetes	k:Fungi,p:Mucoromycota,c:Umbelopsidomycetes	k:Fungi,p:Mucoromycota,c:Umbelopsidomycetes	No hit
