#OTUID	taxonomy	USEARCH	SINTAX	UTAX
OTU1	GS|100.0|CP000139_S002287548;k:Bacteria,p:"Bacteroidetes",c:"Bacteroidia",o:"Bacteroidales",f:Bacteroidaceae,g:Bacteroides;	k:Bacteria,p:"Bacteroidetes",c:"Bacteroidia",o:"Bacteroidales",f:Bacteroidaceae,g:Bacteroides;	k:Bacteria,p:"Bacteroidetes",c:"Bacteroidia",o:"Bacteroidales",f:Bacteroidaceae,g:Bacteroides	No hit
OTU71	SS|1.0000|AJ292581_S000022859;k:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1	k:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1,g:Gp1;	k:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1	No hit
OTU73	SS|1.0000|DQ986200_S000736608;k:Bacteria,p:"Planctomycetes",c:Planctomycetia,o:Planctomycetales,f:Planctomycetaceae	k:Bacteria,p:"Planctomycetes",c:Planctomycetia,o:Planctomycetales,f:Planctomycetaceae,g:Aquisphaera;	k:Bacteria,p:"Planctomycetes",c:Planctomycetia,o:Planctomycetales,f:Planctomycetaceae	No hit
OTU74	SS|0.8500|AJ535710_S000351835;k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales,f:Acetobacteraceae,g:Stella;	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales	No hit
OTU76	SS|0.9500|AB500145_S001416039;k:Bacteria,p:"Chloroflexi",c:Ktedonobacteria	k:Bacteria,p:"Chloroflexi",c:Ktedonobacteria,o:Ktedonobacterales,f:Thermosporotrichaceae,g:Thermosporothrix;	k:Bacteria,p:"Chloroflexi",c:Ktedonobacteria	No hit
OTU95	SS|1.0000|FM252034_S001199926;k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhizobiales	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhizobiales,f:Beijerinckiaceae	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhizobiales	No hit
OTU96	SS|0.9300|AJ535710_S000351835;k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales,f:Acetobacteraceae,g:Stella;	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales	No hit
OTU97	SS|0.9800|X99469_S000004814;k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhizobiales,f:Xanthobacteraceae,g:Xanthobacter;	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria	No hit
OTU102	SS|0.8100|AJ535711_S000351836;k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales,f:Acetobacteraceae,g:Stella;	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales	No hit
OTU108	SS|0.9900|JX843282_S003618668;k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales,f:Rhodospirillaceae,g:Azospirillum;	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria	No hit
OTU111	GS|98.7|AJ234040_S000015295;k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales,f:Actinomycetaceae,g:Actinomyces;	k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales,f:Actinomycetaceae,g:Actinomyces;	k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales,f:Actinomycetaceae,g:Actinomyces	No hit
OTU116	SS|1.0000|AJ535710_S000351835;k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales,f:Acetobacteraceae,g:Stella;	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria	No hit
OTU119	SS|1.0000|CP000481_S002287801;k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales	k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales,f:Acidothermaceae,g:Acidothermus;	k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales	No hit
OTU120	SS|0.9900|D86512_S000010801;k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales,f:Acetobacteraceae	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales,f:Acetobacteraceae,g:Acidisphaera;	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales,f:Acetobacteraceae	No hit
OTU126	SS|1.0000|FM252034_S001199926;k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhizobiales	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria	No hit
OTU131	SS|1.0000|AB547126_S002165083;k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales	k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales,f:Pseudonocardiaceae,g:Pseudonocardia;	k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales	No hit
OTU133	SS|0.9400|AJ535710_S000351835;k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales,f:Acetobacteraceae,g:Stella;	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales	No hit
OTU136	GS|97.1|DQ528760_S002350431;k:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1,g:Edaphobacter;	k:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1,g:Edaphobacter;	k:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1	No hit
OTU143	SS|1.0000|X92611_S000009658;k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales	k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales,f:Micromonosporaceae,g:Micromonospora;	k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales	No hit
OTU144	GS|98.2|AY043842_S000354218;k:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1,g:Gp1;	k:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1,g:Gp1;	k:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1,g:Gp1	No hit
OTU145	SS|0.8500|AJ535710_S000351835;k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales,f:Acetobacteraceae,g:Stella;	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales	No hit
OTU148	SS|1.0000|AJ535710_S000351835;k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria	No hit
OTU151	SS|1.0000|HQ231274_S002443416;k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhizobiales	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhizobiales,f:Bradyrhizobiaceae,g:Bradyrhizobium;	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhizobiales	No hit
OTU152	SS|1.0000|FM208262_S001418569;k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales	k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales,f:Micromonosporaceae,g:Rugosimonospora;	k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales	No hit
OTU154	SS|0.9000|HQ687089_S002989304;k:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1,g:Granulicella	k:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1,g:Granulicella;	k:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1,g:Granulicella	No hit
OTU155	SS|0.9900|KC254734_S003753617;k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhizobiales,f:Rhizobiaceae,g:Kaistia;	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria	No hit
OTU161	SS|0.9900|GU269549_S001873789;k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhizobiales	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhizobiales,f:Hyphomicrobiaceae,g:Pedomicrobium;	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhizobiales	No hit
OTU167	SS|0.9600|GQ421848_S001589377;k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhizobiales,f:Methylobacteriaceae,g:Microvirga;	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria	No hit
OTU168	SS|1.0000|AJ535710_S000351835;k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales,f:Acetobacteraceae,g:Stella;	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria	No hit
OTU169	SS|0.8300|DQ672568_S000712708;k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales,f:Rhodospirillaceae,g:Skermanella;	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales	No hit
OTU171	SS|1.0000|JQ619535_S003312659;k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales	k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales,f:Micromonosporaceae,g:Micromonospora;	k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales	No hit
OTU176	GS|99.8|AJ233430_S000020768;k:Bacteria,p:"Proteobacteria",c:Gammaproteobacteria,o:"Enterobacteriales",f:Enterobacteriaceae,g:Serratia;	k:Bacteria,p:"Proteobacteria",c:Gammaproteobacteria,o:"Enterobacteriales",f:Enterobacteriaceae,g:Serratia;	k:Bacteria,p:"Proteobacteria",c:Gammaproteobacteria,o:"Enterobacteriales",f:Enterobacteriaceae,g:Serratia	No hit
OTU180	SS|1.0000|AJ535710_S000351835;k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales,f:Acetobacteraceae,g:Stella;	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria	No hit
OTU181	SS|0.9900|D86512_S000010801;k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales,f:Acetobacteraceae	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales,f:Acetobacteraceae,g:Acidisphaera;	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales,f:Acetobacteraceae	No hit
OTU191	SS|0.9800|AJ535710_S000351835;k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales,f:Acetobacteraceae,g:Stella;	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria	No hit
OTU192	SS|0.9900|FJ455532_S001242381;k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales,f:Rhodospirillaceae,g:Dongia;	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria	No hit
OTU194	SS|1.0000|U65647_S000438120;k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Rubrobacterales,f:Rubrobacteraceae,g:Rubrobacter	k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Rubrobacterales,f:Rubrobacteraceae,g:Rubrobacter;	k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Rubrobacterales,f:Rubrobacteraceae,g:Rubrobacter	No hit
OTU195	SS|0.9700|KC109787_S003750313;k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales,f:Rhodospirillaceae	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria	No hit
OTU196	SS|1.0000|AJ292581_S000022859;k:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1	k:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1,g:Gp1;	k:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1	No hit
OTU197	SS|0.9200|AJ535710_S000351835;k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales,f:Acetobacteraceae,g:Stella;	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales	No hit
OTU199	SS|0.9600|AJ458473_S000014117;k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhizobiales,f:Methylocystaceae,g:Methylocystis;	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria	No hit
OTU209	GS|97.0|AY043084_S000434839;k:Bacteria,p:Firmicutes,c:Bacilli,o:Bacillales,f:Bacillaceae_1,g:Bacillus;	k:Bacteria,p:Firmicutes,c:Bacilli,o:Bacillales,f:Bacillaceae_1,g:Bacillus;	k:Bacteria,p:Firmicutes,c:Bacilli,o:Bacillales,f:Bacillaceae_1,g:Bacillus	No hit
OTU213	SS|1.0000|X52930_S000001005;k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales,f:Mycobacteriaceae,g:Mycobacterium	k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales,f:Mycobacteriaceae,g:Mycobacterium;	k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales,f:Mycobacteriaceae,g:Mycobacterium	No hit
OTU218	SS|1.0000|GQ494033_S001589688;k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales	k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales,f:Micromonosporaceae,g:Plantactinospora;	k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales	No hit
OTU219	SS|1.0000|AF465650_S000349845;k:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp2,g:Gp2	k:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp2,g:Gp2;	k:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp2,g:Gp2	No hit
OTU231	SS|0.8500|AB588635_S002236311;k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales	k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales,f:Micromonosporaceae,g:Catenuloplanes;	k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales	No hit
OTU232	SS|0.9400|AJ535710_S000351835;k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales,f:Acetobacteraceae,g:Stella;	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales	No hit
OTU234	SS|1.0000|FR666706_S002222816;k:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1	k:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1,g:Bryocella;	k:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1	No hit
OTU235	SS|1.0000|DQ528761_S000701761;k:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1	k:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1,g:Edaphobacter;	k:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1	No hit
OTU240	SS|0.9200|AJ535710_S000351835;k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales,f:Acetobacteraceae,g:Stella;	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales	No hit
OTU245	SS|1.0000|AJ293704_S000254866;k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales	k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales,f:Thermomonosporaceae,g:Actinocorallia;	k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales	No hit
OTU246	SS|0.8400|AJ535710_S000351835;k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales,f:Acetobacteraceae,g:Stella;	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales	No hit
OTU248	SS|0.9800|AJ535710_S000351835;k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales,f:Acetobacteraceae,g:Stella;	k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria	No hit
